x-coordinate,y-coordinate
4.233772439301866641e-02,2.893845760391349636e-02
4.229321364470794986e-02,2.900367661586744292e-02
4.224848186340759287e-02,2.906874357910935874e-02
4.220348483458610800e-02,2.913362783804882700e-02
4.215872474570353523e-02,2.919867565387848640e-02
4.211395305374391468e-02,2.926371522524659832e-02
4.206881975017497111e-02,2.932850477248517829e-02
4.202358002633809625e-02,2.939322018920592985e-02
4.197826992973158894e-02,2.945788593569423700e-02
4.193283331800757435e-02,2.952246303736208791e-02
4.188731919644887725e-02,2.958698556620253592e-02
4.184172043427418497e-02,2.965144821378860526e-02
4.179601399957730973e-02,2.971583460741411553e-02
4.175021057271918051e-02,2.978015207269987460e-02
4.170429523415249834e-02,2.984438961901934168e-02
4.165827028129556048e-02,2.990854870589466918e-02
3.151195149952125407e-02,4.045738046768567603e-02
