# Forces               
# CofR                 : (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)
# Time                 forces(pressure viscous porous)	moments(pressure viscous porous)
0.0874500              	((-2.310159478030350e+00 -1.052667522594973e+02 -7.404061654113554e-18) (-2.739978854485034e+00 3.644963539489734e-02 -8.619116615112472e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-3.404415146665353e-21 -4.353658251294210e-21 6.559952082552588e-02) (-6.130275990376952e-20 -4.397720327273307e-21 2.026280533806041e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0874500              	((-2.310083123733885e+00 -1.052629595907031e+02 8.875690247063217e-19) (-2.739902619664973e+00 3.644633675896611e-02 4.432331651118040e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-1.851410928434589e-20 1.690589835402677e-21 6.559706425778730e-02) (3.143457983818888e-20 -3.865990616993564e-20 2.026224287819013e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0874500              	((-2.310148270881381e+00 -1.052654261463387e+02 -4.310059288143961e-19) (-2.739948635092129e+00 3.644707049690916e-02 2.241135937676210e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((2.913759342527506e-21 1.294639291106902e-21 6.559838998780404e-02) (1.634736624596050e-19 1.815188863894424e-19 2.026258907012716e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0874500              	((-2.310152063151582e+00 -1.052656678830546e+02 -4.745314892935092e-18) (-2.739951462558042e+00 3.644733737830441e-02 -1.766245713213100e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-1.921695520132607e-20 -1.275403923410970e-21 6.559848439769564e-02) (-1.265218410235991e-19 -4.048720918984256e-20 2.026261047964083e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0874500              	((-2.310150977751033e+00 -1.052656168410956e+02 -1.771328298279012e-17) (-2.739950158062475e+00 3.644735443568763e-02 -2.707546415777385e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-8.998047359193502e-21 -9.108867992940972e-21 6.559846601661123e-02) (-1.940518779668794e-19 -3.065566062323257e-20 2.026260066278083e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0874500              	((-2.310150977751033e+00 -1.052656168410956e+02 -1.771328298279012e-17) (-2.739950158062475e+00 3.644735443568763e-02 -2.707546415777385e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-8.998047359193502e-21 -9.108867992940972e-21 6.559846601661123e-02) (-1.940518779668794e-19 -3.065566062323257e-20 2.026260066278083e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0875000              	((-2.311462287587581e+00 -1.052685450535955e+02 -8.153404898722762e-19) (-2.739281314612462e+00 3.644892959704799e-02 4.244411186102483e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-8.042072186029877e-21 -6.295424390201965e-22 6.561109871917048e-02) (3.437817534919896e-20 9.872876270905586e-20 2.025774069780481e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0875000              	((-2.311446711768266e+00 -1.052679047590146e+02 3.588120362357342e-18) (-2.739268717473284e+00 3.644879089860633e-02 5.057003480922865e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((2.221508117779451e-22 1.966955079437012e-21 6.561080498949125e-02) (3.741724967378602e-20 1.259253112547406e-19 2.025764573419294e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0875000              	((-2.311510250131579e+00 -1.052709401950739e+02 1.189920511401529e-18) (-2.739328223802651e+00 3.645141084629838e-02 6.466774007492570e-18) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((1.374944803228070e-20 1.780108678110116e-21 6.561277339303408e-02) (2.108957320042503e-21 -4.980859427714635e-20 2.025808633556887e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0875000              	((-2.311461272030206e+00 -1.052689469193501e+02 -5.910540221370080e-18) (-2.739289848585708e+00 3.645073302318200e-02 -1.068796835119081e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-1.181932745488666e-20 -2.710736272340970e-21 6.561169355816626e-02) (-7.822424435945176e-20 -1.405849578925092e-19 2.025780170595411e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0875000              	((-2.311461272030206e+00 -1.052689469193501e+02 -5.910540221370080e-18) (-2.739289848585708e+00 3.645073302318200e-02 -1.068796835119081e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-1.181932745488666e-20 -2.710736272340970e-21 6.561169355816626e-02) (-7.822424435945176e-20 -1.405849578925092e-19 2.025780170595411e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0875500              	((-2.312771832755347e+00 -1.052722791015395e+02 -6.187814729610076e-18) (-2.738630059970842e+00 3.645416886685611e-02 1.672190411179991e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((1.103013005924307e-20 -2.805785518118428e-21 6.562491810430464e-02) (1.247744992305286e-19 2.126060610947196e-19 2.025300687993500e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0875500              	((-2.312771832755347e+00 -1.052722791015395e+02 -6.187814729610076e-18) (-2.738630059970842e+00 3.645416886685611e-02 1.672190411179991e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((1.103013005924307e-20 -2.805785518118428e-21 6.562491810430464e-02) (1.247744992305286e-19 2.126060610947196e-19 2.025300687993500e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0876000              	((-2.314082596465587e+00 -1.052756109956854e+02 2.012549444513900e-18) (-2.737969865345260e+00 3.645754598794531e-02 -1.146497902443112e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((3.432215044412266e-21 2.462657298938890e-21 6.563813899017830e-02) (-8.870070206008149e-20 -2.684702891002765e-19 2.024820941732619e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0876000              	((-2.314062947741643e+00 -1.052747068647979e+02 2.541122922724338e-18) (-2.737952371757628e+00 3.645699311916304e-02 3.246432487719536e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-1.125045799952776e-20 2.508562648758145e-21 6.563767126616382e-02) (2.373889769651611e-19 1.859242257968516e-19 2.024807790890292e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0876000              	((-2.314062401522851e+00 -1.052741767006809e+02 -6.555958877410615e-19) (-2.737945004666043e+00 3.645570888108470e-02 7.083124475191423e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-8.605276014025872e-21 1.565617845218426e-21 6.563745353455783e-02) (5.095364087759267e-20 9.084526819426250e-20 2.024801822733961e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0876000              	((-2.314086408954551e+00 -1.052752565410350e+02 -1.789304721592108e-18) (-2.737965098134598e+00 3.645614349930878e-02 1.329964598443793e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((2.518283585508293e-21 1.523769863159457e-21 6.563799844034268e-02) (9.878478350756572e-20 1.538364350918539e-19 2.024816818104702e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0876000              	((-2.314086408954551e+00 -1.052752565410350e+02 -1.789304721592108e-18) (-2.737965098134598e+00 3.645614349930878e-02 1.329964598443793e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((2.518283585508293e-21 1.523769863159457e-21 6.563799844034268e-02) (9.878478350756572e-20 1.538364350918539e-19 2.024816818104702e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0876500              	((-2.315401267056528e+00 -1.052782376045910e+02 8.241011175547077e-18) (-2.737300950667065e+00 3.645825756077333e-02 -1.300082973745643e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((1.198110103060446e-20 4.461966224029056e-21 6.565107627055028e-02) (-9.606957991170504e-20 -9.265531697991539e-20 2.024333571829981e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0876500              	((-2.315401267056528e+00 -1.052782376045910e+02 8.241011175547077e-18) (-2.737300950667065e+00 3.645825756077333e-02 -1.300082973745643e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((1.198110103060446e-20 4.461966224029056e-21 6.565107627055028e-02) (-9.606957991170504e-20 -9.265531697991539e-20 2.024333571829981e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0877000              	((-2.316716291053428e+00 -1.052812178577431e+02 -6.682133825409288e-18) (-2.736636449050201e+00 3.646033200352292e-02 1.374849998191523e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-5.131409153662680e-21 -1.608975104854964e-21 6.566415019518679e-02) (1.015357964292547e-19 7.962719571859689e-20 2.023850107386857e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0877000              	((-2.316707953512646e+00 -1.052807718685566e+02 6.885748648221179e-18) (-2.736625766698086e+00 3.646012757591768e-02 1.690553777943736e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((5.903968516102087e-21 4.177306457936759e-21 6.566389962104964e-02) (1.229478818077432e-19 3.554815009208098e-20 2.023842344890748e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0877000              	((-2.316726985229087e+00 -1.052808267690501e+02 -2.264102068005201e-18) (-2.736611659806246e+00 3.646030885376934e-02 -2.092884163757450e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((3.886555908389506e-21 -5.050015476256107e-22 6.566377611107957e-02) (-1.397384512202891e-20 7.679640649386470e-21 2.023833771044641e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0877000              	((-2.316736854158700e+00 -1.052811754083646e+02 7.005937884722595e-18) (-2.736618740825256e+00 3.646040749342863e-02 2.425601560944499e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((3.638186046129824e-21 3.571687524422525e-21 6.566398145054551e-02) (2.117448135935196e-20 1.627839148967006e-19 2.023839073740185e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0877000              	((-2.316736854158700e+00 -1.052811754083646e+02 7.005937884722595e-18) (-2.736618740825256e+00 3.646040749342863e-02 2.425601560944499e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((3.638186046129824e-21 3.571687524422525e-21 6.566398145054551e-02) (2.117448135935196e-20 1.627839148967006e-19 2.023839073740185e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0877500              	((-2.318072690544978e+00 -1.052841158289630e+02 -4.184713139929768e-18) (-2.735937331633076e+00 3.646270896888713e-02 1.284820223541689e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((1.459018937038621e-20 -3.088576826131465e-21 6.567688403120500e-02) (9.359368999422301e-20 1.403030058766193e-19 2.023345193997126e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0877500              	((-2.318083747534275e+00 -1.052846498390998e+02 6.249362052483754e-18) (-2.735948098175749e+00 3.646278067494725e-02 2.244734378172371e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((8.341751622122409e-21 4.641848154926772e-21 6.567716878608341e-02) (1.630267820238764e-19 1.495269942731045e-19 2.023353129605982e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0877500              	((-2.318058493147905e+00 -1.052840689224070e+02 5.751072146012731e-18) (-2.735945059906569e+00 3.646211888629959e-02 1.784849768877195e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((1.102291543658922e-20 4.009497470470760e-21 6.567690314664668e-02) (1.294741481666387e-19 8.042932919002181e-20 2.023349817866312e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0877500              	((-2.318061331199299e+00 -1.052841779565991e+02 9.432118181310084e-19) (-2.735946791728255e+00 3.646217981304369e-02 -1.614560059915028e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-6.243276571962257e-21 -3.523056023445941e-22 6.567696111238315e-02) (-1.206385462744132e-19 -2.469199122944686e-19 2.023351156412478e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0877500              	((-2.318061331199299e+00 -1.052841779565991e+02 9.432118181310084e-19) (-2.735946791728255e+00 3.646217981304369e-02 -1.614560059915028e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-6.243276571962257e-21 -3.523056023445941e-22 6.567696111238315e-02) (-1.206385462744132e-19 -2.469199122944686e-19 2.023351156412478e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
