Time F_xx F_xy F_xz F_yx F_yy F_yz F_zx F_zy F_zz sigma_xx sigma_yy sigma_zz sigma_xy sigma_yz sigma_zx meanLamellarSpacing mean_eq_strain_ferr mean_eq_strain_cem
20.298000000000027 1.16284196382674 -0.03458455462445981 0.014490003600298403 -0.0010257335033211391 0.927228042814468 0.002301406009835414 0.0004201366344508246 0.000481133386049036 0.928153597587228 185995790.92842063 -103095311.78635184 260500665.92994294 94989049.7571026 184832158.49582845 184832158.49582845 79.92295299926886 0.16711946848344325 0.08900354518416331
20.49700000000003 1.1628096016766098 -0.034627705841194706 0.014510964055537603 -0.0010197972475382091 0.927279185648502 0.0022558369114376235 0.00042463447091513665 0.00043670662914950667 0.928087610736642 176676609.52398562 -99599420.77124184 244550109.12647337 91735572.8634399 177366329.4344307 177366329.4344307 79.92193168898395 0.16711946848344325 0.08900354518416331
20.69600000000003 1.16277723952648 -0.034670857057929605 0.014531924510776803 -0.0010138609917552791 0.927330328482536 0.002210267813039833 0.0004291323073794487 0.0003922798722499773 0.928021623886056 167355833.65087196 -96106037.91129127 228596640.2536829 88481815.10803472 169900284.2003321 169900284.2003321 79.92090521783965 0.16711946848344325 0.08900354518416331
20.89500000000003 1.16274487737635 -0.034714008274664504 0.014552884966016004 -0.0010079247359723491 0.92738147131657 0.0021646987146420426 0.00043363014384376075 0.00034785311535044796 0.92795563703547 158033770.43788427 -92615133.83308937 212640627.8744741 85227970.8504138 162434479.58773056 162434479.58773056 79.91988556074057 0.16711946848344325 0.08900354518416331
21.094000000000033 1.16283372929218 -0.03466581940760397 0.01453405420760619 -0.000868917983220898 0.927345612953692 0.0021528926831784843 0.00036719914625040574 0.0003403125054593036 0.927902093544676 168116968.62346244 -99543301.5996192 202231626.28504062 98655316.17087144 160525536.11322123 160525536.11322123 79.91909735575727 0.16711946848344325 0.08900354518416331
21.293000000000035 1.16305797989871 -0.03451560172353797 0.014470775816928889 -0.0005812686540685368 0.927212572402774 0.0021788007158435644 0.00022153913189055954 0.0003739745065881369 0.927862449551522 199850935.28819144 -118125977.89689897 198006733.7975106 130716390.40246263 164825479.03402454 164825479.03402454 79.91856671072634 0.16711946848344325 0.08900354518416331
21.492000000000036 1.16328223050524 -0.03436538403947197 0.014407497426251588 -0.0002936193249161754 0.927079531851856 0.0022047087485086445 7.587911753071335e-05 0.00040763650771697015 0.9278228055583679 231547746.44630036 -136732413.5820283 193762465.1299901 162779344.65401068 169127120.74311757 169127120.74311757 79.91802684684015 0.16711946848344325 0.08900354518416331
21.691000000000038 1.16350648111177 -0.034215166355405974 0.014344219035574288 -5.9699957638140524e-06 0.926946491300938 0.002230616781173725 -6.97808968291328e-05 0.0004412985088458034 0.927783161565214 263207508.7066962 -155362560.41479582 189498901.3506437 194844206.26545647 173430519.5286169 173430519.5286169 79.91747735187168 0.16711946848344325 0.08900354518416331
21.89000000000004 1.1637307317182999 -0.034064948671339974 0.014280940644896987 0.0002816793333885472 0.92681345075002 0.002256524813838805 -0.00021544091118897904 0.0004749605099746367 0.92774351757206 294830244.2530114 -174016408.11061993 185216053.71988064 226910981.65940595 177735682.97648636 177735682.97648636 79.91691804467177 0.16711946848344325 0.08900354518416331
22.08900000000004 1.1637023784477398 -0.03389943246185796 0.014208970346214383 0.0003768878838767254 0.926827849223352 0.0022488215845388898 -0.00026869573972510317 0.0004583418145617427 0.927752161513869 291570782.7581858 -170694168.1013959 187241026.08409917 246859393.4893469 175496096.4843038 175496096.4843038 79.9172225039492 0.16711946848344325 0.08900354518416331
22.288000000000043 1.1633618181380798 -0.03371500796253596 0.014126257239884782 0.00023424828095992926 0.927024475704184 0.0021995763460687895 -0.00020774191162526047 0.00037957843802991105 0.927820487173048 245225279.25484106 -140202060.8058529 197071848.2363646 251829355.87963793 165168683.41557923 165168683.41557923 79.91856284313319 0.16711946848344325 0.08900354518416331
22.487000000000045 1.1630212578284198 -0.033530583463213956 0.014043544133555182 9.160867804313311e-05 0.9272211021850161 0.0021503311075986888 -0.00014678808352541777 0.0003008150614980794 0.927888812832227 198862639.90699378 -109725360.55006903 206891836.80670393 256811460.29679948 154842969.48670813 154842969.48670813 79.91989157388424 0.16711946848344325 0.08900354518416331
22.686000000000046 1.1626806975187598 -0.03334615896389195 0.013960831027225581 -5.103092487366304e-05 0.927417728665848 0.0021010858691285885 -8.583425542557508e-05 0.00022205168496624775 0.9279571384914059 152482755.73815086 -79264254.85021871 216700934.75515068 261805536.42726377 144518967.10377434 144518967.10377434 79.92121177109927 0.16711946848344325 0.08900354518416331
22.885000000000048 1.1623401372091 -0.03316173446456995 0.013878117920895982 -0.00019367052779045924 0.92761435514668 0.002051840630658488 -2.4880427325732382e-05 0.00014328830843441612 0.928025464150585 106085597.88010289 -48818779.969540186 226499125.31482452 266811575.73768997 134196675.43561164 134196675.43561164 79.9225243099988 0.16711946848344325 0.08900354518416331
23.08400000000005 1.1622293873914 -0.03316438794836246 0.013871657820494826 -9.552738909659786e-05 0.9276766969459039 0.002032138082838045 -6.140012829900138e-05 0.0001159865053482747 0.9280299591606439 89123368.9599022 -40257302.12717452 225059864.814819 272835369.1763646 130095756.90702347 130095756.90702347 79.92251044277756 0.16711946848344325 0.08900354518416331
23.28300000000005 1.16243325908055 -0.03342316009951386 0.013969591716305126 0.0003322587887067616 0.927555196621498 0.0020528808853117354 -0.00023136573216984895 0.00015913804686032906 0.927947066972503 112498337.2516574 -61612538.14440829 208263416.78522924 280232236.350347 134505871.82299235 134505871.82299235 79.92066228329581 0.16711946848344325 0.08900354518416331
23.482000000000053 1.1626371307697 -0.033681932250665264 0.014067525612115427 0.0007600449665101209 0.9274336962970919 0.0020736236877854255 -0.00040133133604069657 0.00020228958837238342 0.927864174784362 135901024.2883495 -82929600.96670851 191489409.61298344 287643699.082375 138908876.84195068 138908876.84195068 79.91884377117155 0.16711946848344325 0.08900354518416331
23.681000000000054 1.16284100245885 -0.033940704401816665 0.014165459507925728 0.0011878311443134805 0.927312195972686 0.0020943664902591157 -0.0005712969399115441 0.0002454411298844378 0.927781282596221 159331547.41707602 -104208350.946992 174737835.73798203 295069685.4950575 143304752.6078231 143304752.6078231 79.9170313127537 0.16711946848344325 0.08900354518416331
23.880000000000056 1.163044874148 -0.03419947655296807 0.014263393403736028 0.00161561732211684 0.9271906956482799 0.002115109292732806 -0.0007412625437823917 0.0002885926713964921 0.92769839040808 182789909.74108985 -125448749.22837554 158008701.46963117 302510172.708012 147693495.48009118 147693495.48009118 79.91522189247698 0.16711946848344325 0.08900354518416331
24.079000000000057 1.16320473058109 -0.03417443491850797 0.01423876553153914 0.0025779285137913824 0.9270231031613689 0.0021942687134451585 -0.0011621607817575437 0.0003864731864579063 0.9276966857628821 203078528.97239822 -148999687.5555076 156566377.6453634 367666685.05788285 159806833.3579082 159806833.3579082 79.91375269356367 0.16713191915162826 0.08900354518416331
24.27800000000006 1.16329772839738 -0.03371828373628406 0.014027967885154338 0.004352176435395866 0.9267854972630579 0.00236216223781107 -0.001964222514574222 0.0005674863195688817 0.9278183039677241 227460320.10285088 -156996144.8290057 149495315.453903 459196977.585624 161272894.75158492 161272894.75158492 79.90925202395127 0.16777272544262967 0.08901819600899137
